wavelength_A,flux
2.350000000000045475e+03,3.200025957816930431e-13
2.351400000000045566e+03,3.200681676464997860e-13
2.352800000000045657e+03,3.206181572242914805e-13
2.354200000000045748e+03,3.214089621299778353e-13
2.355600000000045839e+03,3.242570812910102203e-13
2.357000000000045929e+03,3.249487577472060294e-13
2.358400000000046020e+03,3.329974135560163783e-13
2.359800000000046111e+03,3.336090382673484830e-13
2.361200000000046202e+03,3.266050801230336104e-13
2.362600000000046293e+03,3.239328228113247087e-13
2.364000000000046384e+03,3.228386914875376028e-13
2.365400000000046475e+03,3.229812352807638903e-13
2.366800000000046566e+03,3.212299701374073804e-13
2.368200000000046657e+03,3.182010396278300781e-13
2.369600000000046748e+03,3.151721091182527253e-13
2.371000000000046839e+03,2.964863418890676245e-13
2.372400000000046930e+03,2.694391659967480475e-13
2.373800000000047021e+03,2.423919901044285209e-13
2.375200000000047112e+03,2.683240346083616843e-13
2.376600000000047203e+03,3.031419806222483634e-13
2.378000000000047294e+03,2.750598356564867404e-13
2.379400000000047385e+03,2.269541447871511530e-13
2.380800000000047476e+03,1.854581901816290611e-13
2.382200000000047567e+03,1.699837758968091685e-13
2.383600000000047658e+03,2.383752541862436719e-13
2.385000000000047748e+03,2.830954860082830069e-13
2.386400000000047839e+03,2.957464442627386805e-13
2.387800000000047930e+03,3.021939277117123068e-13
2.389200000000048021e+03,3.083339710467110751e-13
2.390600000000048112e+03,3.144740143817098433e-13
2.392000000000048203e+03,3.128627313970636689e-13
